City_ID,City,Country,Lat,Lng,Temp (F),Humidity,Wind Speed (mph),Cloudiness,Date
0,victoria,HK,22.29,114.16,72.46,82.0,1.01,57.0,1603738534.0
1,gravdal,NO,68.12,13.5,48.2,70.0,20.8,75.0,1603738806.0
2,vaasa,FI,63.1,21.62,46.22,100.0,8.05,90.0,1603738807.0
3,qaanaaq,GL,77.48,-69.36,8.2,74.0,9.19,88.0,1603738601.0
4,hermanus,ZA,-34.42,19.23,64.0,85.0,5.01,100.0,1603738807.0
5,atuona,PF,-9.8,-139.03,79.14,73.0,19.33,85.0,1603738808.0
6,amderma,,,,,,,,
7,new norfolk,AU,-42.78,147.06,46.58,65.0,1.36,100.0,1603738696.0
8,cape town,ZA,-33.93,18.42,66.61,77.0,11.41,0.0,1603738809.0
9,busselton,AU,-33.65,115.33,54.72,74.0,5.95,8.0,1603738809.0
10,saskylakh,RU,71.92,114.08,4.06,93.0,5.88,98.0,1603738809.0
11,bianzhuang,CN,34.85,118.04,56.93,57.0,2.37,100.0,1603738810.0
12,saint-philippe,RE,-21.36,55.77,68.61,83.0,5.82,52.0,1603738811.0
13,luderitz,,-26.65,15.16,62.51,70.0,20.13,0.0,1603738612.0
14,rikitea,PF,-23.12,-134.97,75.42,85.0,18.79,100.0,1603738812.0
15,barrow,US,71.29,-156.79,17.6,92.0,3.36,75.0,1603738812.0
16,cockburn town,TC,21.46,-71.14,83.26,79.0,19.82,100.0,1603738813.0
17,swellendam,ZA,-34.02,20.44,64.4,82.0,12.75,90.0,1603738814.0
18,bend,US,44.06,-121.32,40.12,29.0,4.7,90.0,1603738815.0
19,jamestown,US,42.1,-79.24,46.85,100.0,6.93,90.0,1603738815.0
20,klaksvik,FO,62.23,-6.59,41.0,80.0,5.82,17.0,1603738815.0
21,te anau,NZ,-45.42,167.72,43.56,80.0,2.98,69.0,1603738816.0
22,puerto escondido,MX,15.85,-97.07,86.0,66.0,5.82,40.0,1603738817.0
23,cherskiy,RU,68.75,161.3,4.89,93.0,5.93,0.0,1603738817.0
24,ushuaia,AR,-54.8,-68.3,51.8,53.0,17.22,75.0,1603738817.0
25,port blair,IN,11.67,92.75,79.56,82.0,5.17,28.0,1603738818.0
26,punta arenas,CL,-53.15,-70.92,53.29,40.0,29.97,20.0,1603738818.0
27,kapaa,US,22.08,-159.32,75.47,88.0,6.93,40.0,1603738819.0
28,bamnet narong,TH,15.5,101.69,70.36,91.0,1.63,100.0,1603738819.0
29,ahuimanu,US,21.44,-157.84,76.91,88.0,1.34,20.0,1603738706.0
30,bengkulu,ID,-3.8,102.27,75.0,85.0,3.98,100.0,1603738819.0
31,albany,US,42.6,-73.97,48.09,82.0,5.86,100.0,1603738819.0
32,avarua,CK,-21.21,-159.78,75.2,73.0,12.75,100.0,1603738820.0
33,arraial do cabo,BR,-22.97,-42.03,78.8,65.0,8.05,20.0,1603738527.0
34,kurilsk,RU,45.23,147.88,47.46,70.0,12.88,58.0,1603738821.0
35,charters towers,AU,-20.1,146.27,77.18,58.0,7.23,90.0,1603738822.0
36,constitucion,CL,-35.33,-72.42,59.56,55.0,17.29,5.0,1603738822.0
37,taolanaro,,,,,,,,
38,manado,ID,1.49,124.85,73.4,94.0,1.12,20.0,1603738822.0
39,boca do acre,BR,-8.75,-67.4,95.7,41.0,2.84,100.0,1603738823.0
40,tasiilaq,GL,65.61,-37.64,33.8,47.0,16.11,100.0,1603738561.0
41,bluff,NZ,-46.6,168.33,48.0,90.0,1.01,98.0,1603738826.0
42,port alfred,ZA,-33.59,26.89,65.66,81.0,26.6,100.0,1603738826.0
43,suntar,RU,62.14,117.63,15.4,88.0,4.41,100.0,1603738827.0
44,goedereede,NL,51.82,3.98,51.76,90.0,21.92,100.0,1603738601.0
45,maragogi,BR,-9.01,-35.22,79.84,73.0,16.58,0.0,1603738687.0
46,mataura,NZ,-46.19,168.86,48.0,90.0,1.01,85.0,1603738828.0
47,vaitupu,,,,,,,,
48,homer,US,59.64,-151.55,42.39,75.0,26.4,90.0,1603738829.0
49,pangnirtung,CA,66.15,-65.71,19.4,79.0,6.93,75.0,1603738829.0
50,santa rosa,PH,14.31,121.11,79.5,78.0,6.93,75.0,1603738829.0
51,san quintin,MX,30.48,-115.95,68.58,53.0,6.8,18.0,1603738829.0
52,sorvag,,,,,,,,
53,east london,ZA,-33.02,27.91,62.6,93.0,8.05,90.0,1603738830.0
54,sinnamary,GF,5.38,-52.95,85.06,69.0,10.49,0.0,1603738831.0
55,mahaicony,,,,,,,,
56,illoqqortoormiut,,,,,,,,
57,pristina,XK,42.67,21.17,50.5,81.0,2.24,20.0,1603738832.0
58,zabinka,,,,,,,,
59,ribeira grande,PT,38.52,-28.7,69.8,88.0,17.22,40.0,1603738832.0
60,vestmannaeyjar,IS,63.44,-20.27,42.8,81.0,23.04,40.0,1603738832.0
61,yermakovskoye,RU,53.28,92.4,33.67,90.0,4.61,100.0,1603738832.0
62,bredasdorp,ZA,-34.53,20.04,64.4,82.0,12.75,100.0,1603738832.0
63,bubaque,GW,11.28,-15.83,83.16,81.0,12.3,0.0,1603738833.0
64,faanui,PF,-16.48,-151.75,79.9,78.0,14.72,100.0,1603738761.0
65,vaini,TO,-21.2,-175.2,71.6,88.0,8.05,40.0,1603738835.0
66,amazar,RU,53.86,120.88,31.53,97.0,6.71,100.0,1603738836.0
67,tuatapere,NZ,-46.13,167.68,48.0,90.0,1.01,100.0,1603738836.0
68,show low,US,34.25,-110.03,29.75,92.0,6.93,90.0,1603738836.0
69,la ronge,CA,55.1,-105.28,28.4,54.0,12.75,5.0,1603738836.0
70,maniitsoq,GL,65.42,-52.9,27.99,88.0,18.25,0.0,1603738836.0
71,kumylzhenskaya,RU,49.88,42.59,44.01,82.0,5.3,100.0,1603738836.0
72,segezha,RU,63.74,34.32,44.47,92.0,15.68,100.0,1603738837.0
73,clyde river,CA,70.47,-68.59,14.0,72.0,16.11,90.0,1603738837.0
74,luwuk,ID,-0.95,122.79,76.95,77.0,4.09,98.0,1603738837.0
75,san carlos de bariloche,AR,-41.15,-71.31,50.0,60.0,25.28,40.0,1603738808.0
